publish_date,China,Italy,Canada,US
2002,0,0,6,27
2002-01-03,0,0,1,0
2002-02-27,0,0,0,1
2002-03-20,0,0,1,0
2002-03-31,0,0,0,1
2002-06-01,0,0,1,0
2002-06-30,0,0,0,1
2002-09-05,0,1,0,0
2002-10-31,0,0,1,0
2002-11-02,0,0,0,1
2002-11-04,0,0,0,1
2002-11-05,0,0,0,1
2002-11-07,0,0,0,1
2002-11-12,0,0,0,1
2002-11-13,0,1,0,6
2002-11-14,0,1,3,2
2002-11-18,0,0,0,1
2002-12-09,0,0,1,0
2002-12-10,0,0,0,1
2002-12-11,0,0,1,0
2002-12-31,0,0,0,1
2003,48,3,28,97
2003-01-13,0,0,0,1
2003-01-22,0,0,0,2
2003-02-13,0,0,1,0
2003-02-15,0,0,0,1
2003-03-18,0,0,1,1
2003-03-19,0,0,0,1
2003-03-21,0,0,0,1
2003-03-31,0,0,0,1
2003-04-30,0,0,1,0
2003-05-03,0,0,0,1
2003-05-09,1,0,0,0
2003-05-10,0,0,1,0
2003-05-24,0,0,1,1
2003-06-05,0,0,0,1
2003-06-10,1,0,0,0
2003-06-19,0,0,0,1
2003-06-20,0,0,0,1
2003-06-30,1,0,0,1
2003-07-01,1,0,0,0
2003-07-11,0,0,1,0
2003-07-29,1,0,0,0
2003-07-31,1,0,0,0
2003-08-01,0,0,0,1
2003-08-07,0,0,0,1
2003-08-25,0,0,0,1
2003-09-01,0,0,0,1
2003-09-05,1,0,0,0
2003-09-07,1,0,1,0
2003-09-10,1,0,0,0
2003-09-12,0,0,0,1
2003-09-30,0,0,0,2
2003-10-02,0,0,0,1
2003-10-05,1,0,0,0
2003-10-09,1,0,0,0
2003-10-25,1,0,0,0
2003-10-31,1,0,0,0
2003-11-05,1,0,0,0
2003-11-06,1,0,0,1
2003-11-13,0,0,0,1
2003-11-14,2,0,0,2
2003-11-17,0,0,1,1
2003-11-20,1,0,0,0
2003-11-21,0,0,0,1
2003-11-26,1,0,0,0
2003-12-11,0,0,0,1
2003-12-15,0,0,0,1
2003-12-31,3,0,0,3
2004,39,0,20,83
2004-01-01,0,0,1,1
2004-01-07,0,0,0,2
2004-01-08,1,0,0,0
2004-01-10,0,0,1,0
2004-01-14,0,0,0,1
2004-01-17,1,0,1,0
2004-01-22,1,0,0,0
2004-01-31,1,0,1,2
2004-02-01,1,0,0,0
2004-02-03,1,0,0,0
2004-02-05,1,0,0,6
2004-02-15,0,0,1,1
2004-02-23,0,0,0,1
2004-02-26,0,0,0,2
2004-02-27,2,0,0,0
2004-03-01,1,0,0,2
2004-03-02,0,0,0,1
2004-03-03,0,0,0,1
2004-03-05,1,1,0,0
2004-03-11,1,0,0,0
2004-03-15,0,0,0,2
2004-03-31,2,0,0,1
2004-04-01,0,0,0,1
2004-04-05,1,0,0,1
2004-04-07,1,0,0,0
2004-04-15,0,0,0,1
2004-04-17,0,0,0,1
2004-04-23,0,0,1,0
2004-04-30,0,0,0,1
2004-05-04,0,0,0,1
2004-05-05,1,0,0,1
2004-05-10,0,0,0,1
2004-05-14,1,0,0,0
2004-05-15,1,0,0,0
2004-05-27,0,0,0,1
2004-05-31,1,0,0,1
2004-06-05,1,0,0,2
2004-06-07,0,0,0,1
2004-06-08,0,0,0,1
2004-06-26,1,0,0,0
2004-06-28,1,0,0,0
2004-06-30,0,0,1,3
2004-07-02,0,1,0,1
2004-07-05,0,0,1,0
2004-07-07,1,0,0,0
2004-07-14,1,0,1,0
2004-07-15,1,0,0,0
2004-07-24,1,0,0,0
2004-07-27,1,0,0,0
2004-07-29,0,0,0,1
2004-07-31,0,0,1,3
2004-08-01,1,0,0,2
2004-08-02,0,0,0,1
2004-08-05,0,0,0,1
2004-08-06,0,0,1,0
2004-08-14,0,0,0,1
2004-08-15,1,0,0,1
2004-08-23,0,0,0,1
2004-08-31,2,0,0,2
2004-09-01,1,0,0,1
2004-09-06,1,0,0,0
2004-09-15,0,0,1,1
2004-09-30,2,0,0,2
2004-10-05,1,0,0,0
2004-10-08,0,0,0,3
2004-10-11,0,0,0,1
2004-10-12,0,0,0,1
2004-10-30,1,0,1,0
2004-10-31,0,0,0,4
2004-11-05,2,0,2,0
2004-11-15,0,0,0,1
2004-11-19,0,0,0,1
2004-11-30,2,0,0,3
2004-12-01,0,0,1,1
2004-12-02,0,0,1,0
2004-12-05,2,0,0,0
2004-12-07,1,0,0,0
2004-12-08,0,0,0,1
2004-12-17,0,0,1,0
2004-12-19,0,0,1,0
2004-12-31,5,1,1,10
2005,36,3,23,87
2005-01-01,2,0,0,0
2005-01-05,0,0,1,1
2005-01-08,1,0,0,0
2005-01-31,0,0,1,2
2005-02-01,0,0,0,1
2005-02-04,0,0,0,1
2005-02-05,0,0,0,1
2005-02-11,0,0,0,1
2005-02-15,0,0,1,3
2005-02-17,0,0,0,1
2005-02-22,0,0,0,1
2005-02-23,2,0,1,0
2005-02-28,0,0,0,3
2005-03-01,1,0,1,0
2005-03-02,0,0,0,1
2005-03-04,0,1,0,1
2005-03-05,1,0,0,0
2005-03-10,0,0,1,0
2005-03-15,1,0,0,0
2005-03-18,1,0,0,0
2005-03-21,0,0,1,0
2005-03-30,0,0,0,1
2005-03-31,1,0,0,2
2005-04-01,0,0,0,1
2005-04-05,1,0,0,0
2005-04-15,0,0,1,0
2005-04-20,0,0,0,1
2005-04-29,0,0,0,1
2005-04-30,1,0,0,3
2005-05-05,2,0,0,1
2005-05-13,0,0,0,1
2005-05-23,0,0,0,1
2005-05-25,1,0,0,1
2005-05-31,1,0,0,3
2005-06-01,1,0,0,0
2005-06-15,0,0,1,1
2005-06-28,0,1,0,0
2005-06-30,0,0,0,6
2005-07-01,0,0,0,2
2005-07-05,1,0,0,1
2005-07-06,0,0,0,1
2005-07-07,0,0,0,1
2005-07-13,0,0,0,1
2005-07-14,1,2,0,0
2005-07-21,0,0,0,1
2005-08-04,0,0,0,1
2005-08-10,0,0,0,1
2005-08-15,1,0,0,0
2005-08-24,2,0,0,0
2005-08-31,0,0,0,1
2005-09-01,2,0,1,0
2005-09-02,0,0,0,1
2005-09-05,0,0,1,1
2005-09-25,0,0,0,1
2005-09-30,0,0,0,3
2005-10-01,0,0,0,2
2005-10-08,1,0,0,0
2005-10-14,0,0,0,1
2005-10-15,1,0,0,1
2005-10-31,0,0,0,3
2005-11-01,0,0,1,0
2005-11-02,0,0,0,1
2005-11-05,0,0,0,2
2005-11-10,0,0,0,1
2005-11-15,0,0,0,1
2005-11-18,0,0,0,1
2005-11-22,0,0,0,1
2005-11-25,0,0,1,0
2005-11-28,0,0,0,1
2005-11-30,2,0,0,2
2005-12-01,0,0,1,0
2005-12-05,1,0,0,0
2005-12-06,0,0,0,1
2005-12-09,0,0,0,1
2005-12-13,0,0,1,1
2005-12-31,0,0,1,2
2006,30,3,25,66
2006-01-01,0,0,0,1
2006-01-03,1,0,1,0
2006-01-05,1,0,0,2
2006-01-09,1,0,0,1
2006-01-10,0,0,1,0
2006-01-15,0,0,0,2
2006-01-25,2,0,0,1
2006-01-31,1,0,1,3
2006-02-01,2,0,0,0
2006-02-02,0,0,0,1
2006-02-05,0,0,0,2
2006-02-15,0,0,1,1
2006-02-16,0,0,0,1
2006-02-17,1,0,0,0
2006-02-19,0,0,0,1
2006-02-23,0,0,0,1
2006-02-28,0,0,0,4
2006-03-01,1,0,0,3
2006-03-07,0,0,0,1
2006-03-08,1,0,1,1
2006-03-18,0,0,1,0
2006-03-31,0,0,0,1
2006-04-05,0,0,0,1
2006-04-07,1,0,0,1
2006-04-08,1,0,0,0
2006-04-11,1,0,0,0
2006-04-18,0,0,0,2
2006-04-19,0,0,0,1
2006-04-21,0,0,0,1
2006-04-26,0,0,0,1
2006-04-28,0,0,0,2
2006-04-30,1,0,0,0
2006-05-05,0,0,1,3
2006-05-06,0,0,0,1
2006-05-10,0,0,0,1
2006-05-17,0,0,0,1
2006-05-18,0,0,1,1
2006-05-31,1,0,0,2
2006-06-01,0,0,0,1
2006-06-03,0,0,0,2
2006-06-05,1,0,0,0
2006-06-06,1,0,0,1
2006-06-08,1,0,0,1
2006-06-09,1,0,0,0
2006-06-10,0,0,0,1
2006-06-12,0,0,1,0
2006-06-13,0,0,1,0
2006-06-15,0,0,2,2
2006-06-16,0,0,0,1
2006-06-20,0,0,1,0
2006-06-28,0,0,0,1
2006-06-30,0,0,2,1
2006-07-01,1,0,0,1
2006-07-06,0,0,0,1
2006-07-17,1,0,0,1
2006-07-19,0,0,0,1
2006-07-20,0,0,0,1
2006-07-21,0,0,0,1
2006-07-25,1,0,0,0
2006-07-31,0,0,0,1
2006-08-01,0,0,1,2
2006-08-02,1,0,0,0
2006-08-05,0,0,0,1
2006-08-07,0,0,1,0
2006-08-14,0,0,0,1
2006-08-15,0,0,0,1
2006-08-23,0,0,1,1
2006-08-31,0,0,0,4
2006-09-01,0,0,1,1
2006-09-04,0,0,0,1
2006-09-07,1,0,0,0
2006-09-08,1,0,0,0
2006-09-09,0,0,0,1
2006-09-12,0,0,0,1
2006-09-14,0,0,0,1
2006-09-15,0,0,0,1
2006-09-20,0,0,0,2
2006-09-30,1,0,0,3
2006-10-01,1,0,0,0
2006-10-04,0,0,0,1
2006-10-06,0,0,1,0
2006-10-15,0,0,0,1
2006-10-16,0,0,0,1
2006-10-17,0,1,0,0
2006-10-18,0,0,0,1
2006-10-24,0,0,0,1
2006-10-25,0,0,0,1
2006-10-26,0,0,0,1
2006-10-30,1,0,0,0
2006-10-31,0,0,0,1
2006-11-01,0,0,0,2
2006-11-02,0,0,0,1
2006-11-05,1,0,0,0
2006-11-07,0,0,0,1
2006-11-08,0,0,0,1
2006-11-09,0,0,0,1
2006-11-14,1,0,0,1
2006-11-15,0,0,0,1
2006-11-16,0,0,0,1
2006-11-17,0,0,0,1
2006-11-21,0,1,0,2
2006-11-30,3,1,0,2
2006-12-01,0,0,1,0
2006-12-05,0,0,0,2
2006-12-11,0,0,1,0
2006-12-14,0,0,0,1
2006-12-15,0,0,0,1
2006-12-24,0,0,0,1
2006-12-28,0,0,1,0
2006-12-31,1,0,0,8
2007,28,3,36,123
2007-01-04,0,0,0,1
2007-01-05,1,0,1,0
2007-01-09,0,0,1,0
2007-01-10,0,1,0,0
2007-01-15,0,0,0,2
2007-01-16,0,0,0,1
2007-01-19,1,0,0,0
2007-01-21,0,0,0,1
2007-01-22,0,0,1,0
2007-01-23,0,0,0,1
2007-01-26,0,0,0,1
2007-01-29,1,0,0,0
2007-01-31,1,0,0,0
2007-02-01,0,0,0,1
2007-02-02,0,0,0,1
2007-02-15,0,0,0,1
2007-02-20,0,1,0,0
2007-02-22,1,0,0,0
2007-02-28,1,0,0,1
2007-03-02,1,0,0,0
2007-03-09,0,0,0,2
2007-03-12,1,0,0,0
2007-03-15,0,0,0,1
2007-03-17,0,0,0,1
2007-03-19,0,0,0,1
2007-03-23,0,0,0,1
2007-03-27,1,0,0,1
2007-03-30,0,0,0,1
2007-03-31,0,0,1,1
2007-04-04,0,0,0,1
2007-04-15,1,1,0,1
2007-04-17,1,0,0,0
2007-04-19,0,0,0,1
2007-04-27,0,0,0,2
2007-04-30,2,0,0,2
2007-05-01,0,0,1,0
2007-05-04,0,0,0,1
2007-05-05,0,0,0,1
2007-05-07,0,0,0,1
2007-05-09,0,0,0,1
2007-05-22,0,0,0,1
2007-05-25,0,0,0,3
2007-05-28,1,0,0,1
2007-05-29,0,0,1,1
2007-05-30,0,0,1,1
2007-05-31,0,0,3,2
2007-06-01,0,0,0,4
2007-06-07,1,0,0,0
2007-06-15,0,0,0,1
2007-06-16,1,0,0,0
2007-06-21,1,1,0,1
2007-06-25,0,0,0,1
2007-06-26,0,0,0,1
2007-06-30,0,0,1,1
2007-07-01,0,0,1,1
2007-07-05,1,0,0,0
2007-07-15,0,0,0,1
2007-07-19,0,0,0,1
2007-07-26,0,0,0,1
2007-07-31,0,0,0,1
2007-08-01,1,0,1,2
2007-08-10,0,0,0,1
2007-08-15,0,0,1,0
2007-08-28,0,0,1,0
2007-08-31,1,0,1,1
2007-09-01,0,0,1,2
2007-09-02,1,0,0,1
2007-09-05,1,0,0,1
2007-09-14,0,0,0,1
2007-09-20,1,0,0,1
2007-09-26,1,0,0,0
2007-09-28,0,0,0,1
2007-09-30,2,0,0,2
2007-10-05,1,0,0,1
2007-10-11,0,0,0,1
2007-10-15,0,0,1,0
2007-10-16,0,0,1,0
2007-10-24,0,0,0,1
2007-10-30,0,0,0,1
2007-10-31,0,1,0,1
2007-11-01,0,0,0,2
2007-11-05,0,0,1,1
2007-11-12,1,0,0,2
2007-11-14,0,0,1,0
2007-11-15,0,0,1,0
2007-11-26,1,0,0,0
2007-11-30,0,0,0,2
2007-12-01,0,0,0,1
2007-12-04,0,0,1,0
2007-12-05,0,0,0,1
2007-12-07,0,0,1,0
2007-12-15,0,0,0,1
2007-12-17,0,0,1,0
2007-12-21,0,0,0,1
2007-12-31,2,0,0,5
2008,29,7,24,119
2008-01-01,0,1,1,1
2008-01-03,1,0,0,2
2008-01-07,2,0,0,0
2008-01-09,1,0,1,0
2008-01-10,1,0,0,1
2008-01-13,1,0,0,0
2008-01-21,0,0,0,2
2008-01-24,1,0,0,2
2008-01-25,0,0,0,1
2008-01-28,0,0,0,2
2008-01-31,0,0,1,2
2008-02-01,1,0,0,1
2008-02-05,0,0,1,0
2008-02-06,0,0,0,1
2008-02-07,0,0,0,2
2008-02-11,0,0,0,1
2008-02-14,1,0,0,1
2008-02-15,0,0,0,1
2008-02-16,1,0,0,0
2008-02-20,0,0,0,1
2008-02-21,1,0,0,0
2008-02-22,0,1,0,0
2008-02-28,0,0,1,1
2008-02-29,0,0,1,2
2008-03-01,0,0,1,1
2008-03-05,0,0,0,2
2008-03-06,0,0,0,1
2008-03-07,0,0,0,1
2008-03-09,1,0,0,0
2008-03-10,0,0,0,2
2008-03-14,0,1,0,1
2008-03-17,0,1,0,0
2008-03-18,0,0,1,1
2008-03-20,0,0,0,1
2008-03-21,1,0,0,0
2008-03-26,0,0,0,1
2008-03-27,0,0,0,1
2008-03-28,0,0,0,1
2008-03-31,0,0,0,3
2008-04-01,1,0,0,1
2008-04-02,0,0,1,0
2008-04-03,0,0,0,1
2008-04-05,0,0,0,1
2008-04-08,1,0,0,0
2008-04-09,0,0,1,1
2008-04-10,0,0,0,1
2008-04-11,0,0,0,2
2008-04-15,0,0,0,1
2008-04-25,1,1,0,0
2008-04-26,1,0,0,0
2008-04-29,0,0,0,1
2008-04-30,3,0,0,2
2008-05-01,0,0,0,1
2008-05-05,0,0,1,1
2008-05-06,0,0,0,1
2008-05-07,0,0,0,1
2008-05-08,0,0,0,1
2008-05-12,0,0,0,3
2008-05-14,0,0,0,1
2008-05-15,0,0,1,2
2008-05-20,0,0,0,1
2008-05-21,0,0,0,2
2008-05-24,1,0,0,2
2008-05-28,0,0,1,0
2008-05-31,2,0,0,3
2008-06-02,0,0,0,1
2008-06-05,1,0,0,2
2008-06-07,0,0,0,1
2008-06-13,0,0,1,0
2008-06-17,0,0,0,1
2008-06-18,0,0,0,1
2008-06-19,1,0,0,0
2008-06-20,1,0,0,0
2008-06-22,0,0,0,1
2008-06-28,1,1,0,8
2008-07-01,1,0,1,1
2008-07-02,0,0,0,1
2008-07-03,0,1,0,0
2008-07-07,0,0,1,1
2008-07-09,0,0,0,1
2008-07-10,1,0,0,0
2008-07-12,0,0,0,1
2008-07-15,1,0,0,0
2008-07-23,0,0,0,2
2008-07-31,1,0,0,3
2008-08-01,0,0,0,1
2008-08-04,0,0,0,1
2008-08-05,0,0,1,0
2008-08-15,0,0,0,1
2008-08-20,0,0,0,1
2008-08-21,1,0,0,0
2008-08-25,1,0,1,2
2008-08-29,0,0,0,1
2008-08-31,1,0,1,1
2008-09-01,0,0,1,1
2008-09-02,0,0,0,1
2008-09-03,1,0,0,1
2008-09-10,0,0,0,1
2008-09-14,1,0,0,0
2008-09-15,0,0,0,2
2008-09-16,0,0,1,1
2008-09-19,0,0,0,2
2008-09-20,1,0,0,0
2008-09-26,1,0,0,0
2008-09-29,0,0,0,1
2008-09-30,2,0,0,1
2008-10-01,1,0,0,1
2008-10-03,0,0,1,2
2008-10-08,2,0,0,0
2008-10-09,0,0,0,1
2008-10-10,1,0,0,0
2008-10-16,0,0,0,1
2008-10-22,1,0,0,0
2008-10-27,0,0,0,1
2008-10-29,1,0,1,0
2008-10-30,2,0,0,0
2008-10-31,1,0,2,1
2008-11-01,1,0,0,1
2008-11-07,1,0,1,0
2008-11-10,0,0,1,0
2008-11-11,0,0,0,1
2008-11-14,2,0,0,1
2008-11-15,0,0,0,1
2008-11-24,0,0,1,1
2008-11-27,0,0,0,1
2008-11-30,0,0,0,2
2008-12-01,1,0,0,0
2008-12-02,0,0,0,1
2008-12-05,0,0,0,1
2008-12-10,0,0,0,3
2008-12-12,0,0,0,1
2008-12-19,0,0,0,1
2008-12-31,4,0,2,4
2009,22,2,32,154
2009-01-01,0,0,0,2
2009-01-08,0,0,0,1
2009-01-10,0,0,0,1
2009-01-12,1,0,0,0
2009-01-20,0,0,0,1
2009-01-29,1,0,0,3
2009-01-30,0,0,0,2
2009-01-31,2,0,0,0
2009-02-01,0,0,1,1
2009-02-05,0,0,0,4
2009-02-13,0,0,0,1
2009-02-14,0,0,1,0
2009-02-23,1,0,0,0
2009-02-24,0,0,1,0
2009-02-28,0,0,1,3
2009-03-01,0,0,1,1
2009-03-03,0,0,0,1
2009-03-05,1,0,1,0
2009-03-09,0,0,0,1
2009-03-10,0,0,0,1
2009-03-15,0,0,0,1
2009-03-16,0,0,0,2
2009-03-19,0,0,0,1
2009-03-31,2,0,3,3
2009-04-05,0,0,0,1
2009-04-14,1,0,1,1
2009-04-17,1,0,0,0
2009-04-27,0,0,0,2
2009-04-30,1,0,4,5
2009-05-01,1,0,0,3
2009-05-03,0,0,0,1
2009-05-05,0,0,1,0
2009-05-06,0,0,1,0
2009-05-08,0,0,1,0
2009-05-10,0,0,0,1
2009-05-13,0,0,0,2
2009-05-15,1,0,0,1
2009-05-20,0,0,0,2
2009-05-25,0,0,0,1
2009-05-27,1,0,1,1
2009-05-28,2,0,0,1
2009-05-31,1,0,1,3
2009-06-01,0,0,0,2
2009-06-02,0,0,0,1
2009-06-05,5,0,1,0
2009-06-08,0,0,0,1
2009-06-11,0,0,0,1
2009-06-15,0,0,0,3
2009-06-16,0,0,0,1
2009-06-17,0,0,0,1
2009-06-19,0,0,2,0
2009-06-23,0,0,0,1
2009-06-24,0,0,0,1
2009-06-25,0,0,0,1
2009-06-30,1,0,0,3
2009-07-01,0,0,1,3
2009-07-03,0,0,0,1
2009-07-04,0,0,0,1
2009-07-10,0,0,0,1
2009-07-16,0,0,0,1
2009-07-17,0,0,0,1
2009-07-19,0,0,0,1
2009-07-20,0,0,1,1
2009-07-22,0,0,0,1
2009-07-25,1,0,0,0
2009-07-27,0,0,1,0
2009-07-29,0,0,1,0
2009-07-30,0,0,0,1
2009-07-31,0,1,0,2
2009-08-01,0,0,0,2
2009-08-05,0,0,0,1
2009-08-12,0,0,0,1
2009-08-18,0,0,1,0
2009-08-20,0,0,0,1
2009-08-31,2,0,1,3
2009-09-01,1,0,0,1
2009-09-02,0,0,0,1
2009-09-05,1,0,1,2
2009-09-11,0,0,0,1
2009-09-15,1,0,0,0
2009-09-16,1,0,1,0
2009-09-18,0,0,1,0
2009-09-22,1,0,0,1
2009-09-23,1,0,0,0
2009-09-25,0,0,0,1
2009-09-27,1,0,0,0
2009-09-30,1,0,2,1
2009-10-01,0,0,0,2
2009-10-06,1,0,0,0
2009-10-07,1,0,0,1
2009-10-13,0,0,2,0
2009-10-23,1,0,0,0
2009-10-29,0,0,0,1
2009-10-31,0,0,0,2
2009-11-01,0,0,0,1
2009-11-05,0,0,0,2
2009-11-06,1,0,0,1
2009-11-07,0,0,0,1
2009-11-12,0,0,0,2
2009-11-13,0,0,0,1
2009-11-19,0,0,0,1
2009-11-20,0,0,0,1
2009-11-24,0,1,0,0
2009-11-30,1,1,2,1
2009-12-01,0,0,0,1
2009-12-04,0,0,0,1
2009-12-05,0,0,1,1
2009-12-10,0,0,0,1
2009-12-13,0,1,0,0
2009-12-15,0,0,0,2
2009-12-16,0,0,1,0
2009-12-17,1,0,0,0
2009-12-22,1,0,1,0
2009-12-24,0,0,1,0
2009-12-25,0,0,0,1
2009-12-30,0,0,1,1
2009-12-31,2,0,2,10
2010,16,5,21,222
2010-01-01,1,0,0,2
2010-01-05,0,0,0,2
2010-01-07,0,0,0,2
2010-01-11,0,0,0,1
2010-01-12,0,0,0,1
2010-01-15,2,0,0,1
2010-01-16,0,0,1,0
2010-01-19,1,0,0,1
2010-01-29,0,0,0,2
2010-01-31,0,0,0,5
2010-02-01,1,0,0,1
2010-02-04,0,0,0,1
2010-02-05,0,0,1,0
2010-02-07,1,0,0,0
2010-02-08,0,0,0,1
2010-02-14,0,0,0,1
2010-02-18,0,0,1,0
2010-02-22,0,0,0,1
2010-02-23,0,1,0,0
2010-02-25,2,0,0,0
2010-02-27,1,0,0,0
2010-02-28,1,0,0,6
2010-03-01,0,0,0,1
2010-03-03,1,0,0,0
2010-03-05,1,0,0,0
2010-03-11,0,1,0,0
2010-03-13,0,0,0,1
2010-03-15,0,0,0,2
2010-03-17,0,0,0,1
2010-03-18,0,0,0,1
2010-03-19,0,0,0,1
2010-03-25,0,0,0,1
2010-03-29,0,0,0,1
2010-03-30,0,0,0,2
2010-03-31,0,0,1,5
2010-04-01,0,0,1,4
2010-04-08,0,0,0,1
2010-04-10,0,0,0,1
2010-04-16,0,0,0,1
2010-04-21,0,0,1,0
2010-04-23,1,0,0,0
2010-04-27,1,0,0,1
2010-04-30,1,0,0,3
2010-05-03,0,0,0,1
2010-05-04,0,0,0,1
2010-05-05,0,0,0,1
2010-05-06,0,0,0,1
2010-05-11,0,0,0,1
2010-05-12,1,0,0,2
2010-05-13,0,0,0,2
2010-05-18,1,0,0,1
2010-05-19,0,0,0,1
2010-05-20,1,0,0,1
2010-05-21,0,1,0,0
2010-05-22,1,0,0,0
2010-05-24,0,0,0,1
2010-05-25,0,0,1,1
2010-05-27,0,0,0,2
2010-05-31,1,0,1,3
2010-06-01,0,0,0,1
2010-06-02,0,0,0,1
2010-06-05,0,0,0,1
2010-06-06,0,0,0,1
2010-06-07,0,0,0,3
2010-06-10,0,0,0,1
2010-06-11,0,0,1,1
2010-06-13,1,0,0,0
2010-06-15,0,0,0,1
2010-06-17,2,0,0,1
2010-06-18,0,0,1,1
2010-06-20,0,0,0,1
2010-06-21,0,0,0,1
2010-06-23,0,0,0,2
2010-06-25,1,0,0,0
2010-06-28,0,0,0,3
2010-06-29,0,0,0,1
2010-06-30,2,0,0,2
2010-07-01,0,0,0,2
