,docid,DOI,title,abstract,num_paragraph
94,lz37rh82,10.1093/nar/gkm403,3915,37932,29
95,n9sih438,10.1371/journal.pone.0000645,2850,35700,30
96,be8rxglx,10.1093/nar/gkm365,972,19314,18
97,2ks9iimj,10.1186/1471-2334-7-76,3161,50808,29
98,1n69h3i3,10.1155/2007/90520,1625,19050,25
99,yfn8sy1m,10.1371/journal.pone.0000758,6880,123754,86
100,cbl00d50,10.1371/journal.ppat.0030123,2607,66891,33
101,dh9n3j23,10.3201/eid1205.050790,665,15694,19
102,yya6w976,10.1371/journal.pone.0000893,1827,42166,29
103,wm4c7rk6,10.1186/1743-422x-4-77,1100,27170,22
104,9zm4per4,10.1371/journal.pone.0000905,3240,39888,36
105,noscodew,10.1093/nar/gkm478,4320,41640,30
106,kdws9vn2,10.1016/j.cytogfr.2007.06.019,3402,24084,27
107,gyzbzx53,10.1093/nar/gkl1123,6876,41940,36
108,l92nlegt,10.1093/nar/gkm502,7236,66906,54
109,wnuqe66q,10.1186/1744-8603-3-9,3108,63344,37
110,zzkkm496,10.1007/s00431-007-0573-1,1380,48060,30
111,sabz03c0,10.1186/1471-2164-8-274,2052,29298,19
112,z2u5frvq,10.1371/journal.pmed.0040348,936,2132,13
113,6lezilfv,10.1371/journal.pntd.0000086,2822,70516,34
114,7gk8uzo0,10.1186/1471-2148-7-196,4092,66650,31
115,y2nhss9u,10.1007/s00418-007-0359-6,1794,62560,46
116,odnpx3ib,10.1093/ecam/nem013,1152,34758,18
117,gaemgm0t,10.1371/journal.pone.0001498,1920,46112,32
118,chz8luni,10.1186/cc5944,3663,59274,37
119,kfwbqp4p,10.1186/cc5675,1690,20358,26
120,mzn448zk,10.1186/cc5732,2432,30944,32
121,fite9vs8,10.1186/1471-2458-7-330,7128,220320,81
122,d37u3qbd,10.1186/1471-2334-7-141,7140,80886,34
123,b0oiig7g,10.1186/cc6153,1120,20636,28
124,in6w5d2y,10.1186/1465-9921-8-74,2850,101460,57
125,cpz8yb16,10.1186/1742-4690-5-2,6336,82224,48
126,ipwm9uob,10.1093/nar/gkm906,5211,36234,27
127,emnln2ix,10.1186/1471-2458-8-18,4191,78342,33
128,x80cs5bc,10.1371/journal.pone.0001831,1980,29780,20
129,fae3sczm,10.1371/journal.pone.0001847,4699,78329,37
130,1ldebnq8,10.2119/2008-00011.perl,3045,24171,21
131,x7wva1ax,10.1093/nar/gkm1036,6063,45451,43
132,397hp1yt,10.1186/1751-0473-3-3,2340,52767,39
133,zurd5d64,10.1080/1044667021000096455,1170,24282,18
134,eflxldnr,10.1186/1743-422x-5-25,3240,71960,40
135,navrmhqm,10.1110/ps.051411805,13266,107468,67
136,22rf9kuq,10.1186/1471-2334-8-36,2040,38820,20
137,fj9l8che,10.1186/1743-422x-5-40,5185,162260,61
138,1dus0u4m,10.1186/1471-2334-8-29,3888,135744,48
139,gnnd0zmo,10.1186/1472-6750-8-33,6345,108147,47
140,xa9a5p0q,10.2119/2008-00034.klune,1122,48114,33
141,33mqfj2t,10.1054/bjoc.2001.1904,2288,23628,22
142,7jszm1nd,10.1371/journal.pone.0002169,2108,60202,31
143,543aq9dx,10.1371/journal.pone.0002101,4284,70142,34
144,nmmimc71,10.1371/journal.pone.0002185,3219,72668,37
145,rzzsmuoc,10.1186/gb-2007-8-9-r190,4896,23520,48
146,8rrkf78o,10.1371/journal.pone.0002273,4371,44733,31
147,iy4c7404,10.1098/rsif.2007.1272,2958,43384,29
148,ze511t38,10.1371/journal.pone.0002269,4601,78690,43
149,ftlb5b95,10.1093/nar/gkm1100,2769,54327,39
150,7vvj0vfs,10.1038/emboj.2008.101,2900,30653,29
151,3ib99gup,10.1371/journal.pone.0002397,1566,38367,27
152,gy2b7of9,10.1186/1743-422x-5-69,4343,65489,43
153,cc5thj1g,10.2119/2008-00035.gribar,3680,61568,32
154,lrtt9r1h,10.1371/journal.pone.0002585,2117,57159,29
155,umvrwgaw,10.1371/journal.pone.0002618,2700,33450,25
156,fw6q4qpq,10.1371/journal.pone.0002637,2574,43420,26
157,b8xb1f12,10.1007/s00705-008-0118-6,2553,39629,23
158,ujbclp35,10.1186/1471-2458-8-212,15470,140335,85
159,kamvao4b,10.1186/1471-2148-8-172,2365,71060,55
160,rnvh9ut8,10.1007/s11095-008-9571-x,4305,48615,35
161,ajafw966,10.1186/1471-2334-8-86,4708,68816,44
162,5blxgsfi,10.1098/rspb.2008.0294,833,13974,17
163,yp7zhgj9,10.1186/1471-2105-9-304,4488,125862,66
164,4z38v9rg,10.1371/journal.pone.0002768,2475,71841,33
165,7gmtp6km,10.1371/journal.ppat.1000115,3744,39676,26
166,es5t9kvt,10.1371/journal.pgen.1000144,3080,117376,56
167,ueglfhux,10.1371/journal.pone.0002876,4472,23392,43
168,wdcmb4x5,10.1186/1476-072x-7-35,5207,88068,41
169,ue9azoyf,10.1186/1746-4269-4-16,3780,50970,30
170,4kpkhz0o,10.1371/journal.ppat.1000130,2610,45630,30
171,fpsyem7x,10.1371/journal.ppat.1000152,4422,149946,67
172,kswby0it,10.1631/jzus.b0820005,1675,21900,25
173,dg3pfydf,10.1152/ajplung.00010.2008,2924,111284,86
174,r3c1b8bn,10.1186/1757-1626-1-150,2032,23888,16
175,zt6i3o86,10.1371/journal.ppat.1000176,3762,48543,33
176,104sqoxz,10.1371/journal.pone.0003413,2765,71715,35
177,h8upyzb1,10.1371/journal.ppat.1000186,3420,51120,36
178,3dgjv0x1,10.1371/journal.pone.0003454,1972,44254,29
179,etjqaovc,10.1186/1757-1626-1-209,1152,20232,18
180,prsvv6l9,10.1093/nar/gkn518,2160,48564,36
181,seass3p0,10.1186/1471-2458-8-319,3450,58550,25
182,p56v8wi1,10.1186/1471-2148-8-253,2666,55211,31
183,pr9i9swk,10.1371/journal.pone.0003548,3920,48076,28
184,e0ou9zjb,10.3201/eid1403.071027,344,2800,8
185,sswimukk,10.3201/eid1403.071275,144,144,3
186,gcjgfasj,10.1186/1471-2458-8-347,5922,117641,47
187,amvlm09p,10.1371/journal.ppat.1000196,4802,95599,49
188,hx77tpbt,10.1371/journal.ppat.1000208,3871,94766,49
189,oz823tw4,10.1186/1471-2431-8-43,4263,83153,49
190,wtvfow2f,10.1093/nar/gkn544,4320,64032,48
191,nv228vte,10.1093/nar/gkn585,2349,30726,27
192,5j496cx0,10.1093/nar/gkn541,4794,87822,51
193,6zrv687k,10.1371/journal.ppat.1000236,4592,56334,41
194,sasijnks,10.1371/journal.pone.0001558,1904,58956,34
195,slxdonqi,10.3201/eid1401.061283,2457,27891,27
196,uj7lyawj,10.3201/eid1402.070851,1054,14841,17
197,qww6pe61,10.3201/eid1405.071301,1548,14778,18
198,av0wlbua,10.3201/eid1406.080271,288,1698,6
199,iar66keo,10.1038/nmeth.1283,1288,23874,23
200,elhp6rx6,10.1371/journal.pone.0004176,1848,50148,28
201,xu9llz9u,10.1371/journal.pone.0004171,5264,79947,47
202,osioowtp,10.1371/journal.pone.0004261,1647,41850,27
203,ciuhyhb8,10.3349/ymj.2007.48.4.586,574,12152,14
204,928pkpv2,10.1371/journal.ppat.1000287,6576,83760,48
205,87yq2317,10.3201/eid1411.080683,630,2898,9
206,k2glr4pd,10.1186/1749-8546-3-15,5206,44688,38
207,jzwcy7dr,10.1093/schbul/sbm139,3267,50760,27
208,9mma6rva,10.1093/pubmed/fdn049,265,1275,5
209,e666nvl3,10.1155/2009/591935,950,18563,19
210,akvhi38e,10.1186/1742-7622-5-20,3375,62100,75
211,ecey1cyz,10.1371/journal.pgen.1000416,3575,52825,25
212,cpu38ryy,10.1186/1750-1172-3-34,1122,99195,51
213,87mjdccj,10.1186/1471-2334-9-8,2492,55076,28
214,yp1s77ez,10.1371/journal.pbio.1000053,2160,41580,30
215,rl7sdzd7,10.1186/1472-6750-9-7,2205,21546,21
216,tfcerilc,10.1371/journal.pone.0002432,3627,55924,31
217,ftjnw3an,10.1155/2009/781712,3381,29486,23
218,t7004uw2,10.3201/1501.080299,1349,14155,19
219,3tt99oax,10.3201/1501.080758,948,4296,12
220,niii78fr,10.1186/1746-1596-4-8,1320,23760,20
221,vg57cnqw,10.1111/j.1365-313x.2008.03598.x,4182,42024,34
222,qrnhp1ek,10.2174/1874091x00903010001,2760,33960,40
223,5hwqdnx1,10.3201/1504.080616,1368,18810,19
224,4tvrhpss,10.1371/journal.ppat.1000418,3498,64086,33
225,i55gwn3s,10.1371/journal.ppat.1000424,5945,86100,41
226,05ppugs7,10.1186/1743-8462-6-9,4104,132012,57
227,tex6bgab,10.1371/journal.pone.0005671,2645,31832,23
228,q75spbgv,10.1186/1475-2875-8-55,2616,51336,24
229,6c3zb3g4,10.1186/1478-4491-7-39,14456,241488,104
230,wk9oxl4n,10.1371/journal.pntd.0000446,4375,47355,35
231,x5lbstyr,10.1093/nar/gkn794,1695,22200,15
232,wj7yonjw,10.1093/nar/gkn766,672,12016,16
233,pebc17zw,10.3201/eid1505.081286,2340,27508,26
234,10j9cp9c,10.1371/journal.pone.0005819,3159,75153,39
235,fa7s7xj5,10.1371/journal.pone.0005807,2772,31284,33
236,2ygb80sc,10.1186/cc7153,3741,51901,43
237,zkudc8ww,10.1186/1745-6150-4-18,3567,28072,29
238,qfb7074e,10.1186/1743-422x-6-71,3700,34151,37
239,g4puurhk,10.4103/1817-1737.41914,1825,18850,25
240,ke0tkpso,10.4103/1817-1737.43085,780,33640,20
241,d441jam3,10.1371/journal.pone.0006108,3050,33975,25
242,02opdk0m,10.1093/nar/gkp278,3296,43104,32
243,533xlisc,10.1371/journal.pone.0006314,4914,91560,42
244,7s5b3lpn,10.2174/1874357900903010007,1638,31395,21
245,d5xv2xdr,10.1007/s00415-009-5068-8,1968,31248,24
246,jy7j8sh0,10.1371/journal.pone.0006355,3192,62944,28
247,t579ysgl,10.4103/1817-1737.53349,2320,10440,20
248,9ofqelrm,10.1186/cc7875,2847,48828,39
249,bnkbwh3w,10.1186/cc7880,3811,68413,37
250,ucn7t3sg,10.1038/sj.bjc.6605144,2340,36062,26
251,1xgjdhkx,10.1186/1471-2148-9-164,924,32613,21
252,wtsyzmo0,10.1007/bf02900804,1344,23583,21
253,dqp4lzqs,10.1007/bf02897700,1391,17628,13
254,1qo1krxv,10.1007/bf02897701,2660,56595,35
255,0jj9svwj,10.1007/bf02897704,3844,50220,62
256,6d9x0xbj,10.1155/2009/973754,1387,22287,19
257,22veehj5,10.2217/fmb.09.15,3813,32349,41
258,4psg0z3n,10.3201/eid1301.061014,486,3357,9
259,5apikyi7,10.3201/eid1303.060301,1980,14960,22
260,vueo83vk,10.1186/1752-1947-3-6443,2790,34290,15
261,3gwm1c2f,10.1083/jcb.200903014,1608,27312,24
262,ajz4ef44,10.1371/journal.pone.0006829,3536,54400,34
263,utmt5sva,10.1136/bmj.b3391,3770,51792,26
264,xjspi65a,10.1371/journal.ppat.1000570,1755,40041,27
265,wup6tig0,10.3346/jkms.2006.21.2.208,1869,23751,21
266,3zh8jmc2,10.1371/journal.ppat.1000587,3904,49600,32
267,3b8b8p61,10.1084/jem.20082874,3616,42784,32
268,0p8lk12m,10.1371/journal.pone.0006952,2484,77220,36
269,l0uya9dh,10.1371/journal.pcbi.1000520,1482,69464,38
270,rlbodumk,10.1109/titb.2007.910354,5236,91630,77
271,dg10rf2f,10.1371/journal.ppat.1000594,5586,94276,49
272,cijyfa4j,10.1371/journal.pone.0007165,1365,32886,21
273,out6zg61,10.3201/eid1507.081083,1078,13902,14
274,n4duwd0x,10.3201/eid1507.081256,576,2943,9
275,xsjdy3yz,10.1186/1471-2393-9-39,7222,88550,46
276,d0eur1hq,10.1371/journal.pntd.0000530,1552,40240,16
277,f0vud3gu,10.1111/j.1750-2659.2009.00084.x,1144,35932,26
278,ujgcsx3o,10.1371/journal.pone.0007295,5203,89784,43
279,3qxun84i,10.1038/sj.bjc.6602064,1725,25900,25
280,kxtdv6q9,10.1007/s00281-009-0164-5,2175,172608,87
281,vrd89yk0,10.1093/nar/gkp499,3210,40740,30
282,0ybn2igj,10.1186/1471-2334-9-166,1188,45018,18
283,l1khrk52,10.1186/1753-4631-3-11,3010,6965,35
284,duwfxeyt,10.1007/s00005-008-0021-6,2620,26920,20
285,qs82fva6,10.1051/vetres/2009054,1958,19294,22
286,nn09hh29,10.1371/journal.pone.0007377,10854,127332,81
287,7658dmvk,10.1093/nar/gkp659,2900,52250,50
288,uvf5qzfd,10.1093/nar/gkp714,3000,42540,30
289,cai6tqxq,10.1371/currents.rrn1126,624,16601,13
290,t74b5j2j,10.2174/138161208786898806,6552,57759,39
291,p4exyu56,10.1111/j.1365-2958.2006.05503.x,1908,24678,18
292,ugbwvy6j,10.1371/journal.pone.0008032,3003,65241,33
293,0pe8691t,10.1063/1.3247350,3904,61244,61
294,eabho73n,10.1186/1472-6963-9-200,4320,121728,48
295,e523mnz1,10.1093/annhyg/mep070,2496,66880,32
296,m2k8lf7v,10.1093/ecam/nem156,1775,18400,25
297,ujquw0g8,10.1186/1472-6963-9-213,5504,62752,32
298,idffrnac,10.2119/molmed.2009.00097,3290,67351,47
299,a3tammig,10.1051/vetres/2009065,1320,25590,15
300,0rq0wdpq,10.1093/database/bap015,2772,73656,36
301,5kapn32k,10.1371/journal.pone.0008325,4064,59456,32
302,yxtdqjay,10.1371/journal.pone.0008356,3741,53099,29
303,2xvd5ogf,10.1371/journal.pone.0008390,2000,34040,20
304,ftxq9g7h,10.1093/nar/gkp779,2160,45504,36
305,1rzcrkmt,10.1186/1476-069x-8-s1-s15,752,16160,16
306,ilhnluqc,10.1186/1741-7015-7-76,5232,93792,48
307,gbdaad4l,10.1186/1471-2334-9-196,3538,62379,29
308,mszzo4o4,10.1371/journal.pone.0008610,3605,59430,35
309,dp8971im,10.1007/s00251-009-0412-9,1860,23780,20
310,imxe4jeo,10.2174/1875397300903010033,3861,29304,33
311,c8snsa4z,10.1186/1752-1947-3-138,2548,39624,26
312,b1h8hweh,10.1186/1757-1626-2-9347,1035,15195,15
313,134qz0aw,10.1186/1471-2172-10-64,3145,51652,37
314,piusm60c,10.1095/biolreprod.108.075242,2507,45563,23
315,a7oqm956,10.1111/j.1750-3639.2008.00254.x,5390,66710,70
316,zwgnkegf,10.1021/bi901541j,3741,50568,43
317,jgxbpy4j,10.1074/mcp.m900338-mcp200,3204,47952,36
318,d08buwtu,10.1371/journal.pone.0008805,4830,65835,35
319,8y8ho2x5,10.1093/nar/gkp788,649,12760,11
320,sbnnh2mm,10.1093/nar/gkp1000,1360,22544,16
321,hxjxczyr,10.1186/cc8183,1450,27579,29
322,zqcu10rp,10.1186/1741-7015-7-81,1716,52470,22
323,094d0rn6,10.1371/journal.ppat.1000757,2660,60865,35
324,stgri6y6,10.1186/1475-2875-9-10,3399,69300,33
325,36bfeoqv,10.1371/journal.pone.0009018,3180,39330,30
326,sk9lud0o,10.3390/ijerph7010291,2835,17847,27
327,h3yxymh3,10.3201/eid/1509.081334,1914,24442,22
328,fmgnavfq,10.3201/eid1509.090204,2139,23345,23
329,k58gx6sf,10.1186/1743-422x-7-3,1421,6433,7
330,5l48fvx2,10.1051/vetres/2009071,3596,36084,31
331,um0ds7dh,10.1051/vetres/2009076,2052,28746,18
332,mxjtj5c0,10.1186/1755-8794-3-1,5754,60564,42
333,mgj9zfft,10.1007/s10620-009-0797-1,4598,51946,38
334,u3yvpcnr,10.1186/1758-2652-13-2,3060,82654,34
335,z76vjkxg,10.1371/journal.pone.0009332,5550,77959,37
336,54f3q2o5,10.1186/1752-1947-4-32,2812,28405,19
337,96xoj10p,10.1051/vetres/2010002,4200,48630,30
338,67oorg1b,10.1186/1757-1626-3-61,2599,21068,23
339,howix091,10.1371/journal.pone.0009560,6223,74186,49
340,0tqwjdhd,10.1186/1471-2334-10-8,12222,152271,63
341,ni6iyzdn,10.1371/journal.pone.0009603,3196,45696,34
342,8gnn6l4b,10.1093/nar/gkp1107,2970,31064,22
343,zuvy8htp,10.1007/s12560-010-9024-7,3555,134379,79
344,25v5mr3c,10.4103/0974-777x.56258,2064,88709,43
345,sw4wtxdk,10.1371/journal.pone.0009757,1836,36801,27
346,soi3bn6y,10.1186/1471-2334-10-54,2619,28377,27
347,6wu024ng,10.1371/journal.pone.0009812,4340,42315,31
348,vexwisnz,10.1371/journal.pcbi.1000721,2052,45296,38
349,8trsa6o6,10.1371/journal.ppat.1000827,3775,37325,25
350,epkw6222,10.1155/2010/174378,4968,146096,92
351,d2mb2b3d,10.1038/nbt.1564,3224,33046,31
352,o4k7auph,10.1371/journal.pone.0009986,5964,79128,42
353,cwzpb8fu,10.3201/eid1310.061262,1400,19100,20
354,ge5iri3v,10.3201/eid1013.070732,609,2541,21
355,lkoyrv3s,10.1371/journal.pcbi.1000736,2415,62825,35
356,zizfgz7d,10.1371/journal.pone.0010067,3232,41728,32
357,q26f8pv4,10.1093/nar/gkq021,3420,49514,38
358,y6di4ver,10.3201/eid1511.090467,1387,18829,19
359,sboumuy9,10.1038/emboj.2010.13,1419,39732,33
360,igo8c5kb,10.1371/journal.ppat.1000872,2184,47976,24
361,gzxu7nkh,10.1371/journal.pmed.1000266,1260,3564,18
362,lfvso15k,10.1371/journal.ppat.1000875,1508,41886,26
363,hd12p867,10.1155/2010/723798,1782,18576,18
364,sbxqwfmy,10.1371/journal.ppat.1000893,3384,44208,24
365,se4unhi8,10.4103/0250-474x.57292,1424,12784,16
366,a0pzw26l,10.3390/ijms11031141,2376,20304,24
367,th0wddvc,10.1371/journal.pone.0010645,3640,41236,26
368,fec4kt20,10.1371/journal.pone.0010658,2280,35112,19
369,34sy55hi,10.3201/eid1601.090077,748,4169,11
370,1rhy8td0,10.1093/nar/gkq089,3626,46657,37
371,yvgzkt8a,10.1371/journal.pmed.1000282,272,1360,8
372,wcyv6w47,10.1186/1471-2334-10-106,4672,158784,64
373,8d4f4gmw,10.3201/eid1307.060740,1782,26730,27
374,wg6nh1vt,10.1186/1757-7241-18-28,5504,72369,43
375,sfshosp0,10.1098/rsif.2009.0471,3024,86592,48
376,waf4n6u8,10.1371/journal.ppat.1000931,3944,79390,34
377,chd9ezba,10.1186/cc8850,1175,9875,25
378,o2kzb94o,10.1371/journal.pone.0011199,4123,50654,31
379,01wsevuu,10.1186/1756-0500-3-155,2640,49530,30
380,k2vbgqk7,10.1095/biolreprod.109.082412,4995,74745,45
381,nj23h32n,10.1371/journal.pntd.0000721,2688,39232,32
382,e7b1guwq,10.1186/1743-422x-7-108,2822,57834,34
383,2lz03oqb,10.1371/journal.pone.0011304,2560,55264,32
384,ip0fxvhp,10.1007/s00249-009-0545-7,5593,48410,47
385,1r1ueuk2,10.1007/s00705-010-0662-8,2641,18867,19
386,iec4mvh7,10.1093/ecam/nep152,2231,33189,23
387,ntx35a8s,10.1371/journal.pone.0011341,4818,56958,33
388,9fr0m92p,10.3348/kjr.2010.11.4.417,3024,39204,27
389,xkmkwsbv,10.1371/journal.pone.0011360,5031,66263,43
390,ydzxp0oe,10.1186/1741-7007-8-84,1638,13156,26
391,boto4h8x,10.1371/journal.ppat.1000980,2106,62322,39
392,nnhs8k0i,10.1007/s11999-010-1341-5,1581,26231,17
393,wek9wp6u,10.1007/s11024-010-9145-z,7171,83141,71
394,782iew86,10.1086/652416,2520,25968,24
395,rb45gk2w,10.1155/2010/184328,2415,21413,23
396,mticfoic,10.1371/journal.pone.0011721,3565,34937,31
397,om92cx5q,10.1063/1.3455189,2590,38990,35
398,c8uvemh0,10.1186/1465-9921-11-94,2992,50966,34
399,m4sp9sjn,10.1371/journal.pone.0011815,3626,65638,37
400,0bwxcij3,10.1186/cc9068,6090,72534,42
401,t7rxmzvi,10.1186/ar3052,1230,7530,10
402,wrru98zg,10.1186/1471-2458-10-402,3009,43945,17
403,4458ra21,10.1371/journal.pntd.0000771,2800,59125,25
404,mlhd9zbs,10.1371/journal.ppat.1001039,7590,97014,46
405,hgpn8oba,10.1203/pdr.0b013e3181e9f3a0,3900,37110,30
406,zueoyesj,10.1371/journal.pone.0012262,5684,266452,116
407,hkc4vbmj,10.1007/s00335-010-9273-7,975,6565,13
408,yc8rjjyf,10.1371/journal.pcbi.1000895,2106,48141,27
409,yjwm84ub,10.4103/0972-2327.64622,1800,20592,24
410,iejfgkst,10.1007/s11426-010-0011-5,1652,15106,14
411,bujydnde,10.1371/journal.pone.0012442,2750,47725,25
412,bufbjdmw,10.1186/1750-1172-5-22,3344,141768,88
413,73nlxqgk,10.1371/journal.pone.0012763,1760,47454,22
414,q3r327z7,10.1371/journal.pone.0012951,2520,61776,36
415,ampip7od,10.2174/138920210791616725,1491,32319,21
416,9uswwyxm,10.1371/journal.pone.0013095,3159,61581,39
417,3n05cb49,10.1371/journal.pcbi.1000947,2201,52142,31
418,kfkumsux,10.1371/journal.pone.0013099,4900,68985,35
419,ip32y0j5,10.1371/journal.pone.0013137,2968,48020,28
420,4owsb0bg,10.1371/journal.pmed.1000346,1386,4662,21
421,ujf6v8x0,10.1631/jzus.b1000111,5811,56394,39
422,o80duxhs,10.4061/2009/239204,2046,26840,22
423,llilwq1u,10.1371/journal.pone.0013315,1920,36240,24
424,xwfptmmv,10.1371/journal.pone.0013350,4636,70604,38
425,xroo7z7g,10.1371/journal.pone.0013047,2871,50460,29
426,480d3yfv,10.1186/1471-2334-10-286,6600,74756,44
427,v4jochbe,10.1371/journal.pone.0013432,2870,64645,35
428,m5ho3ccj,10.1371/journal.ppat.1001157,4508,74014,46
429,812uc4w7,10.1093/nar/gkq554,3570,57078,42
430,19sejitq,10.1371/journal.pmed.1000362,3672,70227,27
431,zar4py7o,10.1007/s00705-010-0768-z,2205,14091,21
432,tycbhz8a,10.1007/s12014-010-9058-8,5461,80109,43
433,7coajgjz,10.1016/j.jmb.2009.10.006,1548,27378,18
